Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,13,44,23,15,3,840
1,0,0,0,0,0,2
10,0,0,0,0,0,1
11,0,0,0,0,0,1
12,0,0,0,0,0,1
13,0,0,0,0,0,1
14,0,0,0,0,0,1
15,0,0,0,0,0,1
16,0,0,0,0,0,1
17,0,0,0,0,0,1
18,0,0,0,0,0,1
19,0,0,0,0,0,2
2,0,0,0,0,0,1
20,0,0,0,0,0,1
21,0,0,0,0,0,4
22,0,0,0,0,0,1
23,0,0,0,0,0,2
24,0,0,0,0,0,3
25,0,0,0,0,0,1
26,0,0,0,0,0,1
27,0,0,0,0,0,3
28,0,0,0,0,0,1
29,0,0,0,0,0,1
3,0,0,0,0,0,1
30,0,0,0,0,0,1
31,0,0,0,0,0,1
4,0,0,0,0,0,1
5,0,0,0,0,0,1
6,0,0,0,0,0,1
7,0,0,0,0,0,2
8,0,0,0,0,0,1
9,0,0,0,0,0,5
