,0,really scifi,scifi_probability,preds
149,The forever man,1,0.3502768487408445,0
157,The Golgotha Dancers,0,0.3926825768916804,0
114,At the Mountains of Madness,1,0.4765901903314428,0
72,The Fatal Kiss Mystery,0,0.5189355757168238,0
159,Honey in his Mouth,0,0.5421924838127213,0
154,The chessmen of Mars,1,0.5640341927373267,0
150,A dog's ransom,0,0.5640341927373267,0
4,The Legion of Time,1,0.5640341927373267,0
22,Doomsday morning,1,0.5765779426770352,0
12,Skyracos: The Mining Mess ,1,0.5813625604111587,0
27,Tanar of Pellucidar,1,0.5813625604111587,0
42,Welsh rarebit tales,1,0.5944104268828975,0
53,The harvest murder,0,0.6065843641398567,0
166,The school for widows,0,0.6065843641398567,0
21,A Woman is Dead,0,0.6067581798705268,0
48,In a Lonely Place,0,0.6246902492383601,0
71,The old English baron,0,0.6373777429118124,0
63,The mysteries of Udolpho,0,0.6373777429118124,0
102,Anthem,1,0.652827882435657,0
17,A Columbus of space,1,0.6951221584865155,0
121,Deadly beloved,0,0.6951221584865155,0
65,Lot No. 249,0,0.7023868266194733,0
64,Xélucha,0,0.7023868266194733,0
128,The monster men,1,0.7023868266194733,0
155,Farewell my Lovely,0,0.7023868266194733,0
55,The forbidden garden,1,0.7023868266194733,0
50,The Great God Pan,0,0.7023868266194733,0
61,Professional thieves and the detective,0,0.7023868266194733,0
118,The Princess Thora,1,0.7023868266194733,0
108,The Missing Minx,0,0.7023868266194733,0
116,The last man,1,0.7023868266194733,0
109,Eye of the Jury ,0,0.7023868266194733,0
110,Torture by Hope,0,0.7023868266194733,0
76,Adventures of Sherlock Holmes,0,0.7023868266194733,0
81,Skylark three,1,0.7023868266194733,0
82,The Cape Cod mystery,0,0.7023868266194733,0
143,The Turn of the Screw,0,0.7023868266194733,0
93,Dracula,0,0.7023868266194733,0
138,Mr. Meeson's will,0,0.7023868266194733,0
134,The Ghost of Fear,0,0.7023868266194733,0
103,Pellucidar,1,0.7023868266194733,0
104,The Secret of Kralitz,0,0.7023868266194733,0
106,Land of terror,1,0.7023868266194733,0
68,Tiger Cat ,0,0.7023868266194733,0
46,Artifact,1,0.7023868266194733,0
126,The Owl’s Ear,0,0.7023868266194733,0
164,Planet of Adventure,1,0.7023868266194733,0
20,The House on the Borderland,0,0.7023868266194733,0
173,The secret of the crater,1,0.7023868266194733,0
174,File no. 113,0,0.7023868266194733,0
29,The eyes of Heisenberg,1,0.7023868266194733,0
168,The inner house,1,0.7023868266194733,0
19,The Red Thumb Mark,0,0.7023868266194733,0
43,Blind Man’s Buff,0,0.7023868266194733,0
181,Triangle of sin,0,0.7023868266194733,0
163,Step to the stars,1,0.7070663968689743,0
51,The mystery of Orcival,0,0.717029330763379,0
31,The angel of the revolution,1,0.717029330763379,0
183,The stand,0,0.7215339784487432,0
139,The coming race,1,0.7311284897378039,0
120,Colony,1,0.7335631792630228,0
137,The entropy effect,1,0.7335631792630228,0
