,0,really scifi,scifi_probability,preds
7,The yellow danger,1,0.16,0
43,Revi-Lona,1,0.204,0
151,A romance of two worlds,1,0.34983333333333333,0
31,Fahrenheit 451,1,0.34983333333333333,0
128,The harvest murder,0,0.4251904761904762,0
21,Mission of Gravity,1,0.4251904761904762,0
2,Terror at Staups House,0,0.48,0
6,Darkness and the light,1,0.48533333333333334,0
147,Dracula's Guest,0,0.48533333333333334,0
112,Psycho,0,0.5083333333333334,0
100,"Varney, the Vampyre",0,0.5213571428571429,0
14,Shadows in Zamboula,0,0.5293571428571429,0
96,Strange case of Dr. Jekyl,1,0.5378333333333333,0
152,Torture by Hope,0,0.54,0
174,Men like gods,1,0.5413809523809524,0
37,Hothouse,1,0.5465238095238095,0
66,The Lair of the White Worm,0,0.56,0
164,Hartmann the anarchist,1,0.57,0
185,One Hundred Generations,1,0.5774999999999999,0
61,The fury,0,0.6071904761904762,0
18,The Big Blackmail,0,0.6231904761904761,0
74,The clipper of the clouds,1,0.6293333333333333,0
84,Dagon,0,0.6391428571428572,0
142,The Boats of the “Glen Carrig”,0,0.6415238095238095,0
94,Welsh rarebit tales,1,0.658142857142857,0
175,Judgement Night,1,0.663142857142857,0
63,Queen of the Black Coast,0,0.67,0
56,Farewell my Lovely,0,0.67,0
111,Brain Wave,1,0.68,0
135,The Werewolf,0,0.6850238095238095,0
149,Yermah the Dorado,1,0.723547619047619,0
107,The planet of peril,1,0.7340238095238094,0
99,The Were-wolf,0,0.7340238095238094,0
97,Shallows of night,1,0.7340238095238094,0
182,Memoirs of Sherlock Holmes,0,0.7340238095238094,0
64,Misery,0,0.7340238095238094,0
9,The school for widows,0,0.7340238095238094,0
67,Is he the man?,0,0.7340238095238094,0
69,Lady and the Lake,0,0.7340238095238094,0
71,No Good from a Corpse,0,0.7340238095238094,0
156,The Invisible Eye,0,0.7340238095238094,0
106,Land of terror,1,0.7340238095238094,0
150,The old English baron,0,0.7340238095238094,0
155,The Dead Smile,0,0.7340238095238094,0
76,The green man,1,0.7340238095238094,0
77,He Cometh and He Passeth By,0,0.7340238095238094,0
58,The Horror-Horn,0,0.7340238095238094,0
79,The Murder in the Rue Morgue,0,0.7340238095238094,0
81,The Owl’s Ear,0,0.7340238095238094,0
82,The entropy effect,1,0.7340238095238094,0
83,Grasville Abbey,0,0.7340238095238094,0
93,The prince of peril,1,0.7340238095238094,0
177,I am legend,0,0.7340238095238094,0
109,The Cosmic Computer,1,0.7340238095238094,0
88,Frankenstein,1,0.7340238095238094,0
136,The dream doctor,0,0.7340238095238094,0
154,From the Earth to the Moon,1,0.7340238095238094,0
102,And He Shall Sing . . .,0,0.7340238095238094,0
162,Red Nails,0,0.7340238095238094,0
172,Brigands of the moon,1,0.7340238095238094,0
171,The Call of Cthulhu,1,0.7340238095238094,0
30,The tracer of lost person,0,0.7340238095238094,0
33,Agatha Webb,0,0.7340238095238094,0
143,Mountain cat Murders,0,0.7340238095238094,0
57,The mystery of Orcival,0,0.7340238095238094,0
13,The Tree of Life,1,0.7340238095238094,0
138,The children of the abbey,0,0.7340238095238094,0
168,The Wendigo,0,0.7340238095238094,0
41,Cat's Cradle,1,0.7340238095238094,0
12,Tales of the Alhambra,0,0.7340238095238094,0
125,Beyond the Black River,0,0.7340238095238094,0
167,Beyond compare,0,0.7340238095238094,0
101,The last President,1,0.7340238095238094,0
46,Horla,0,0.7340238095238094,0
166,The golden tress,0,0.7340238095238094,0
11,The poisoned pen,0,0.7340238095238094,0
54,The Monk,0,0.7340238095238094,0
