id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions,riddell,gutenberg,underwood
18,GARSIDE1800-1829,20100817,1800A018,Ormond; or the Secret Witness,Charles Brockden BROWN,1800,goth,Male,,"ORMOND; OR THE SECRET WITNESS. BY THE AUTHOR OF WIELAND, ARTHUR MERVYN, &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","1 vol.  (iv, 338p). 12&deg;",Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783,Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck),"1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)",,x,
235,GARSIDE1800-1829,20100817,1803A018,Arthur Mervyn,Charles Brockden BROWN,1803,goth,Male,,"ARTHUR MERVYN. A TALE. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF EDGAR HUNTLY, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803","3 vols (I iv, 318p; II 299p; III 311p). 12&deg;",Corvey; CME 3-628-47134-6; ECB 78; EN2 1803: 18; xNSTC; OCLC 6662256,"Preface' signed 'C. B. B.'.  Originally published Philadelphia 1799, followed by 'Second Part' New York 1800 (Blanck)",1821 (OCLC),,x,
236,GARSIDE1800-1829,20100817,1803A019,Edgar Huntly,Charles Brockden BROWN,1803,goth,Male,,"EDGAR HUNTLY, OR MEMOIRS OF A SLEEP-WALKER. A NOVEL. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF ARTHUR MERVYN, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803",3 vols (I 259p; II 255p; III 288p). 12&deg;,Corvey; CME 3-628-47136-2; ECB 78; EN2 1803: 19; xNSTC; OCLC 3403453,Originally published Philadelphia 1799 (Blanck),1831 (NSTC 2B51809); 1842 (NSTC); 1847 (OCLC); 1850 (OCLC),,x,
310,GARSIDE1800-1829,20100817,1804A014,Jane Talbot,Charles Brockden BROWN,1804,goth,Male,,"JANE TALBOT. A NOVEL. IN TWO VOLUMES. BY C. B. BROWNE [sic], AUTHOR OF ARTHUR MERVYN, EDGAR HUNTLEY, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1804",2 vols (I 263p; II 336p). 12&deg;,Corvey; CME 3-628-47137-0; ECB 78; EN2 1804: 14; xNSTC; OCLC 6662288,Originally published Philadelphia 1801 (Blanck),,,x,
404,GARSIDE1800-1829,20100817,1805A033,Herman and Dorothea,Johann Wolfgang von GOETHE,1805,goth,Male,,HERMAN AND DOROTHEA: A TALE. TRANSLATED FROM THE GERMAN OF GOETHE,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by Mercier and Co. Northumberland-Court, Strand, 1805","1 vol.  (xii, 142p, ill.). 12&deg;",BL 11521.aaa.8; EN2 Update 1; NSTC G1268; xOCLC,"Prose translation of Goethe's <i>Hermann und Dorothea</i>, first published in <i>Taschenbuch f&uuml;r 1798</i> (Berlin, 1798). Goethe revised his work in 1799 for theatrical performance; his revised version was an epic poem of more than 500 hexameters. 'Advertisement' to the present work remarks: 'The Public are already acquainted with the Poem of Herman and Dorothea; written by the celebrated Goethe, and translated into blank verse by Mr. Holcroft. It is replete with beauties of every kind: but the extreme simplicity of manners and of incident, which prevails throughout, is a defect in the eye of some English readers; who have not been accustomed to see the common occurrences of life written in the language of the Muses. This consideration occasioned the present translation, in prose, to be undertaken' (pp. iv&ndash;v). Thomas Holcroft's verse translation was first published in 1801. Imprint notes: 'Printed [&hellip;] by Mercier and Co. Northumberland-Court, Strand'",,,x,
662,GARSIDE1800-1829,20100817,1808A074,"Wild Irish Boy, The",Charles Robert MATURIN,1808,goth,Male,,THE WILD IRISH BOY. IN THREE VOLUMES. BY THE AUTHOR OF MONTORIO,"London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row, by J. D. Dewick, Aldersgate-Street, 1808","3 vols (I xi, 276p; II 342p; III 406p). 12&deg;",Corvey; CME 3-628-48922-9; ECB 637; EN2 1808: 75; NSTC M1728; OCLC 24412175,"Dedication to the Quarterly Reviewers, dated Dublin, 12 Dec 1811. Drop-head titles and running-titles read: 'The Milesian'",,x,,
855,GARSIDE1800-1829,20100817,1810A077,Zastrozzi,Percy Bysshe SHELLEY,1810,goth,Male,,"ZASTROZZI, A ROMANCE. BY P. B. S","London:                     Printed for G. Wilkie and J. Robinson, 57, Paternoster Row, 1810",1 vol.  (252p). 12&deg;,Corvey; CME 3-628-48997-0; ECB 654; EN2 1810: 76; NSTC S1642; OCLC 3171405,,,x,,
1134,GARSIDE1800-1829,20100817,1814A054,Waverley,Sir Walter SCOTT,1814,goth,Male,,"WAVERLEY; OR, 'TIS SIXTY YEARS SINCE. IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1814",3 vols (I 358p; II 370p; III 371p). 12&deg;,BL C.59.g.16; ECB 627; EN2 1814: 52; NSTC S893; OCLC 2349473,,"2nd edn 1814 (Corvey), CME 3-628-48598-3; 3rd edn 1814 (NSTC); 4th edn 1814 (NSTC); 5th edn 1815 (NSTC); 6th edn 1816 (NSTC); 7th edn 1817 (NSTC); 8th edn 1821 (NSTC); Boston 1815 (OCLC) [also New York 1815 (OCLC)]; French trans. (of 4th edn), 1818; German trans., 1821. Numerous reprintings in collected edns",,x,
1187,GARSIDE1800-1829,20100817,1815A044,Guy Mannering,Sir Walter SCOTT,1815,goth,Male,,"GUY MANNERING; OR, THE ASTROLOGER. BY THE AUTHOR OF ""WAVERLEY."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Longman, Hurst, Rees, Orme, and Brown, London; and Archibald Constable and Co., 1815",3 vols (I 341p; II 346p; III 358p). 12&deg;,BL 636.e.2; ECB 249; EN2 1815: 46; NSTC S866; OCLC 2384073,,"2nd edn 1815 (Corvey), CME 3-628-48617-3; 3rd edn 1815 (NSTC); 4th edn 1817 (NSTC); 6th edn 1820 (NSTC); Boston, 1815 (OCLC); French trans., 1816; German trans., 1816 [as <i>Der Astrolog; eine caledonische Wundersgage</i> (NSTC)]. Numerous reprintings in collected edns",,x,
1248,GARSIDE1800-1829,20100817,1816A052,"Antiquary, The",Sir Walter SCOTT,1816,goth,Male,,"THE ANTIQUARY. BY THE AUTHOR OF ""WAVERLEY"" AND ""GUY MANNERING."" IN THREE VOLUMES","Edinburgh:                     Printed by James Ballantyne and Co. for Archibald Constable and Co.; and Longman, Hurst, Rees, Orme, and Brown, London, 1816","3 vols (I viii, 336p; II 348p; III 372p). 12&deg;",Corvey; CME 3-628-48541-X; ECB 21; EN2 1816: 52; NSTC 2S9452; OCLC 2514237,"Novel proper ends vol. 3, p. 355 followed by 'Glossary', pp. [357]&ndash;372","2nd edn 1816 (NSTC); 5th edn 1818 (NSTC); 6th edn 1821 (NSTC); New York 1816 (NSTC, OCLC); French trans., 1817; German trans., 1821. Numerous reprintings in collected edns",,x,
