,0,1,2,3,4,5,6
0,1424,Castle Rackrent,"Edgeworth, Maria",65,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
1,344,"the merry men, and other ","Stevenson, Robert Louis",60,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
2,1739,"the black death, and the ","Hecker, J. F. C. (Justus Friedrich Carl)",60,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
3,25077,"castellinaria, and other ","Jones, Henry Festing",60,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
4,6854,anne bradstreet and her t,"Campbell, Helen",60,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
5,9977,berlin — panorama einer w,"Gutzkow, Karl",56,108,belinda. by maria edgewor,Maria EDGEWORTH
6,8677,"behind a mask; or, a woma","Alcott, Louisa May",56,108,belinda. by maria edgewor,Maria EDGEWORTH
7,37335,brenda's bargain: a story,"Reed, Helen Leah",56,108,belinda. by maria edgewor,Maria EDGEWORTH
8,23513,old jabe's marital experi,"Page, Thomas Nelson",56,108,belinda. by maria edgewor,Maria EDGEWORTH
9,6992,belinda: an april folly i,"Milne, A. A. (Alan Alexander)",56,108,belinda. by maria edgewor,Maria EDGEWORTH
10,45195,the bible for young peopl,Anonymous,68,109,moral tales for young peo,Maria EDGEWORTH
11,41300,daniel webster for young ,"Webster, Daniel",64,109,moral tales for young peo,Maria EDGEWORTH
12,15034,stories for the young; or,"More, Hannah",64,109,moral tales for young peo,Maria EDGEWORTH
13,16648,holiday stories for young,,64,109,moral tales for young peo,Maria EDGEWORTH
14,6429,many ways for cooking egg,"Rorer, S. T.",60,109,moral tales for young peo,Maria EDGEWORTH
15,17562,trifles for the christmas,"Armstrong, H. S.",64,121,"ruthinglenne, or the crit",Isabella KELLY
16,9603,"hung lou meng, or, the dr","Cao, Xueqin",64,121,"ruthinglenne, or the crit",Isabella KELLY
17,6885,the indolence of the fili,"Rizal, José",64,121,"ruthinglenne, or the crit",Isabella KELLY
18,4625,"lizzy glenn; or, the tria","Arthur, T. S. (Timothy Shay)",64,121,"ruthinglenne, or the crit",Isabella KELLY
19,11033,the angel over the right ,"Trusta, H.",64,121,"ruthinglenne, or the crit",Isabella KELLY
20,3717,the parson's daughter of ,"Trollope, Anthony",84,188,the baron's daughter: a g,Isabella KELLY
21,47782,the friar's daughter: a s,"Phifer, Charles Lincoln",84,188,the baron's daughter: a g,Isabella KELLY
22,42119,the trapper's daughter: a,"Aimard, Gustave",80,188,the baron's daughter: a g,Isabella KELLY
23,38545,the pilot's daughter: an ,"Cunningham, Francis",80,188,the baron's daughter: a g,Isabella KELLY
24,35035,the actress' daughter: a ,"Fleming, May Agnes",80,188,the baron's daughter: a g,Isabella KELLY
25,42839,popular tales: scaramouch,"Guizot, Madame (Elisabeth Charlotte Pauline)",68,313,popular tales. by maria e,Maria EDGEWORTH
26,8933,popular tales from the no,,68,313,popular tales. by maria e,Maria EDGEWORTH
27,5314,household tales by brothe,"Grimm, Jacob",60,313,popular tales. by maria e,Maria EDGEWORTH
28,26358,eastern tales by many sto,,60,313,popular tales. by maria e,Maria EDGEWORTH
29,45241,"popular british ballads, ",Various,60,313,popular tales. by maria e,Maria EDGEWORTH
30,40219,the border rifles: a tale,"Aimard, Gustave",68,400,the modern griselda. a ta,Maria EDGEWORTH
31,41610,the modern pistol and how,"Winans, Walter",68,400,the modern griselda. a ta,Maria EDGEWORTH
32,7124,the coral island: a tale ,"Ballantyne, R. M. (Robert Michael)",64,400,the modern griselda. a ta,Maria EDGEWORTH
33,42388,the solomon islands and t,"Guppy, H. B. (Henry Brougham)",64,400,the modern griselda. a ta,Maria EDGEWORTH
34,41388,the modern american pisto,"Gould, Arthur Corbin",64,400,the modern griselda. a ta,Maria EDGEWORTH
35,29306,afloat on the ohio: an hi,"Thwaites, Reuben Gold",68,470,"zofloya; or, the moor: a ",Charlotte DACRE
36,4703,flower of the north: a mo,"Curwood, James Oliver",64,470,"zofloya; or, the moor: a ",Charlotte DACRE
37,15707,"zoonomia; or, the laws of","Darwin, Erasmus",64,470,"zofloya; or, the moor: a ",Charlotte DACRE
38,47335,"food for the mind: or, a ",John-the-Giant-Killer,64,470,"zofloya; or, the moor: a ",Charlotte DACRE
39,28270,"hypolympia; or, the gods ","Gosse, Edmund",64,470,"zofloya; or, the moor: a ",Charlotte DACRE
40,15778,the honorable miss: a sto,"Meade, L. T.",56,473,leonora. by miss edgewort,Maria EDGEWORTH
41,41072,leonora christina ulfeldt,"Ulfeldt, Leonora Christina, grevinde",56,473,leonora. by miss edgewort,Maria EDGEWORTH
42,28112,"alonzo and melissa; or, t","Mitchell, I. (Isaac)",56,473,leonora. by miss edgewort,Maria EDGEWORTH
43,5003,the rover boys in new yor,"Stratemeyer, Edward",52,473,leonora. by miss edgewort,Maria EDGEWORTH
44,34357,honor: a play in four act,"Sudermann, Hermann",52,473,leonora. by miss edgewort,Maria EDGEWORTH
45,863,the mysterious affair at ,"Christie, Agatha",76,678,"the mysterious baron, or ",Eliza RATCLIFFE
46,39425,"the mysterious wanderer, ","Reeve, Sophia",76,678,"the mysterious baron, or ",Eliza RATCLIFFE
47,3186,"the mysterious stranger, ","Twain, Mark",76,678,"the mysterious baron, or ",Eliza RATCLIFFE
48,34629,the mysterious wanderer; ,"Reeve, Sophia",76,678,"the mysterious baron, or ",Eliza RATCLIFFE
49,50109,the mysterious stranger: ,"Twain, Mark",76,678,"the mysterious baron, or ",Eliza RATCLIFFE
50,4929,the fashionable adventure,"Phillips, David Graham",64,720,tales of fashionable life,Maria EDGEWORTH
51,39090,travelers five along life,"Johnston, Annie F. (Annie Fellows)",64,720,tales of fashionable life,Maria EDGEWORTH
52,33511,Tales of Passed Times,"Perrault, Charles",61,720,tales of fashionable life,Maria EDGEWORTH
53,37293,"the works of ""fiona macle",,60,720,tales of fashionable life,Maria EDGEWORTH
54,579,the poems of sidney lanie,"Lanier, Sidney",60,720,tales of fashionable life,Maria EDGEWORTH
55,39454,"ahead of the show; or, th","Thorpe, Fred",68,1009,"cava of toledo; or, the g",Augusta Amelia STUART
56,9990,"brave and bold; or, the f","Alger, Horatio",68,1009,"cava of toledo; or, the g",Augusta Amelia STUART
57,34233,cranial osteology of the ,"Trueb, Linda",64,1009,"cava of toledo; or, the g",Augusta Amelia STUART
58,38001,"sans-cravate; or, the mes","Kock, Paul de",64,1009,"cava of toledo; or, the g",Augusta Amelia STUART
59,36041,"corse de leon; or, the br","James, G. P. R. (George Payne Rainsford)",64,1009,"cava of toledo; or, the g",Augusta Amelia STUART
60,7098,tales of the enchanted is,"Higginson, Thomas Wentworth",72,1077,tales of the dead. princi,Sarah Elizabeth UTTERSON
61,37536,the house of the dead; or,"Dostoyevsky, Fyodor",68,1077,tales of the dead. princi,Sarah Elizabeth UTTERSON
62,23378,"tales of the sea, and of ","Kingston, William Henry Giles",68,1077,tales of the dead. princi,Sarah Elizabeth UTTERSON
63,34817,"tales of the wonder club,","Halidom, M. Y.",68,1077,tales of the dead. princi,Sarah Elizabeth UTTERSON
64,33688,"tales of the wonder club,","Halidom, M. Y.",68,1077,tales of the dead. princi,Sarah Elizabeth UTTERSON
65,35944,that unfortunate marriage,"Trollope, Frances Eleanor",56,1100,patronage. by maria edgew,Maria EDGEWORTH
66,35943,that unfortunate marriage,"Trollope, Frances Eleanor",56,1100,patronage. by maria edgew,Maria EDGEWORTH
