,0,1,2,3,4,5,6
0,1424,Castle Rackrent,"Edgeworth, Maria",65,﻿29,"castle rackrent, an hiber",Maria EDGEWORTH
80,20038,"frankenstein; or, the mod","Shelley, Mary Wollstonecraft",100,1367,"frankenstein; or, the mod",Mary Wollstonecraft SHELLEY
81,84,"frankenstein; or, the mod","Shelley, Mary Wollstonecraft",100,1367,"frankenstein; or, the mod",Mary Wollstonecraft SHELLEY
82,41445,"frankenstein; or, the mod","Shelley, Mary Wollstonecraft",100,1367,"frankenstein; or, the mod",Mary Wollstonecraft SHELLEY
83,42324,"frankenstein; or, the mod","Shelley, Mary Wollstonecraft",100,1367,"frankenstein; or, the mod",Mary Wollstonecraft SHELLEY
105,7371,A Sicilian Romance,"Radcliffe, Ann Ward",70,3003,a sicilian romance. by th,"[RADCLIFFE, Ann]"
110,3268,The Mysteries of Udolpho,"Radcliffe, Ann Ward",86,3004,"the mysteries of udolpho,","RADCLIFFE, Ann"
455,29826,elisabeth; ou les exilés ,"Cottin, Madame (Sophie)",76,534,"elizabeth; or, the exiles",Sophie Ristaud COTTIN
485,41646,"emmeline, the orphan of t","Smith, Charlotte",100,3002,"emmeline, the orphan of t","SMITH, Charlotte"
550,6566,Thaddeus of Warsaw,"Porter, Jane",74,276,thaddeus of warsaw. in fo,Jane PORTER
625,33973,"the mysterious wanderer, ","Reeve, Sophia",96,571,the mysterious wanderer. ,Sophia REEVE
626,34629,the mysterious wanderer; ,"Reeve, Sophia",96,571,the mysterious wanderer. ,Sophia REEVE
627,39425,"the mysterious wanderer, ","Reeve, Sophia",96,571,the mysterious wanderer. ,Sophia REEVE
720,34968,mystery and confidence: a,"Pinchard, Elizabeth Sibthorpe",100,1127,mystery and confidence: a,Elizabeth PINCHARD
721,34933,mystery and confidence: a,"Pinchard, Elizabeth Sibthorpe",100,1127,mystery and confidence: a,Elizabeth PINCHARD
722,34932,mystery and confidence: a,"Pinchard, Elizabeth Sibthorpe",100,1127,mystery and confidence: a,Elizabeth PINCHARD
